source_artifact,case_set,case_id,category,status,expected_outcome,turn_injected,route_observed,planner_request_observed,target_selection_observed,execution_feedback_observed,failure_observed,replan_observed,terminal_observed,speech_observed,post_terminal_speech_observed,fallback_total,assessment_reasons
nao_main_20260713_heavy_changes_clean.json,main,composite_walk_every_object_reports_main,composite_skill_execution,pass,observe,True,True,True,,True,True,False,True,True,False,0,matched expected trajectory
nao_environment_20260713_heavy_changes.json,environment,environment_baseline_table_inventory,preloaded_environment_kb_query,pass,observe,True,True,False,,False,True,False,False,True,False,0,matched expected trajectory
nao_environment_20260713_heavy_changes.json,environment,environment_lab_table_inventory,preloaded_environment_kb_query,pass,observe,True,True,False,,False,True,False,False,True,False,0,matched expected trajectory
nao_environment_20260713_heavy_changes.json,environment,environment_lab_sections_inventory,preloaded_environment_kb_query,pass,observe,True,True,False,,False,True,False,False,True,False,2,matched expected trajectory
nao_environment_20260713_heavy_changes.json,environment,environment_lab_sections_delivery,preloaded_environment_composite_execution,pass,execute_no_clarification,True,True,True,,True,True,False,True,True,True,2,matched expected trajectory
nao_environment_20260713_heavy_changes.json,environment,environment_kitchen_inventory,preloaded_environment_kb_query,pass,observe,True,True,False,,False,True,False,False,True,False,0,matched expected trajectory
nao_environment_20260713_heavy_changes.json,environment,environment_grouped_location_delivery,preloaded_environment_composite_execution,pass,execute_no_clarification,True,True,True,,True,True,False,True,True,True,2,matched expected trajectory
nao_environment_20260713_heavy_changes.json,environment,environment_grouped_location_followup,preloaded_environment_kb_query,pass,observe,True,True,False,,False,True,False,False,True,False,0,matched expected trajectory
nao_environment_20260713_heavy_changes.json,environment,environment_iiia_floor_inventory,preloaded_environment_kb_query,not_scored,observe,False,False,False,,False,,,,False,,0,stale KnowledgeCore guard contaminated the fixture
nao_environment_20260713_heavy_changes.json,environment,environment_iiia_kitchen_delivery,preloaded_environment_composite_execution,pass,execute_no_clarification,True,True,True,,True,True,False,True,True,False,0,matched expected trajectory
nao_environment_20260713_heavy_changes.json,environment,environment_gold_apple_handoff,preloaded_environment_multi_turn,pass,execute_no_clarification,True,True,True,,True,True,False,True,True,False,0,matched expected trajectory
nao_environment_20260713_heavy_changes.json,environment,environment_gold_apple_followup,preloaded_environment_kb_query,pass,observe,True,True,False,,False,True,False,False,True,False,0,matched expected trajectory
nao_fake_all_success_20260713_heavy_changes.json,fake_deep,fake_deep_baseline_inventory,fake_deep_preflight,pass,observe,True,True,False,,False,True,False,False,True,False,0,matched expected trajectory
nao_fake_all_success_20260713_heavy_changes.json,fake_deep,fake_deep_ordered_walk_report,fake_deep_composite_success,pass,execute_no_clarification,True,True,True,,True,True,False,True,True,False,1,matched expected trajectory
nao_fake_all_success_20260713_heavy_changes.json,fake_deep,fake_deep_grouped_work_table_delivery,fake_deep_location_delivery,pass,execute_no_clarification,True,True,True,,True,True,False,True,True,False,1,matched expected trajectory
nao_fake_all_success_20260713_heavy_changes.json,fake_deep,fake_deep_missing_object_recovery,fake_deep_absent_target_replan,pass,recover_or_truthful_failure,True,True,True,,True,True,True,True,True,True,0,matched expected trajectory
nao_fake_all_success_20260713_heavy_changes.json,fake_deep,fake_deep_missing_recipient_clarification,fake_deep_missing_secondary_target,pass,clarification_expected,True,True,False,,False,True,False,False,True,False,1,matched expected trajectory
nao_fake_all_success_20260713_heavy_changes.json,fake_deep,fake_deep_iiia_kitchen_delivery,fake_deep_maximal_location_delivery,pass,execute_no_clarification,True,True,True,,True,True,False,True,True,False,0,matched expected trajectory
nao_fake_all_success_20260713_heavy_changes.json,fake_deep,fake_deep_iiia_floor_location_followup,fake_deep_post_effect_query,pass,observe,True,True,False,,True,True,False,True,True,True,0,matched expected trajectory
nao_fake_all_success_20260713_heavy_changes.json,fake_deep,fake_deep_gold_apple_multiturn,fake_deep_multiturn_pronoun_handoff,fail,execute_no_clarification,True,True,True,,False,True,False,True,True,True,0,expected planner request and execution feedback
nao_fake_all_success_20260713_heavy_changes.json,fake_deep,fake_deep_gold_apple_followup,fake_deep_post_effect_query,pass,observe,True,True,False,,False,True,False,False,True,False,0,matched expected trajectory
nao_fake_fail_once_navigation_20260713_heavy_changes.json,fake_deep,fake_deep_ordered_walk_report,fake_deep_composite_success,degraded,execute_no_clarification,True,True,True,,True,True,False,True,True,False,0,recovery closure was not spoken after terminal evidence
nao_fake_fail_once_navigation_20260713_heavy_changes.json,fake_deep,fake_deep_iiia_kitchen_delivery,fake_deep_maximal_location_delivery,degraded,execute_no_clarification,True,True,True,,True,True,False,True,True,False,0,recovery closure was not spoken after terminal evidence
nao_fake_fail_once_pick_20260713_heavy_changes.json,main,skill_pick_phone_generic,simple_fake_skill_execution,pass,observe,True,True,True,,True,True,True,True,True,False,0,matched expected trajectory
nao_fake_delivery_blocked_20260713_heavy_changes.json,fake_deep,fake_deep_grouped_work_table_delivery,fake_deep_location_delivery,degraded,execute_no_clarification,True,True,True,,True,True,True,True,True,False,0,recovery closure was not spoken after terminal evidence
nao_fake_delivery_blocked_20260713_heavy_changes.json,fake_deep,fake_deep_iiia_kitchen_delivery,fake_deep_maximal_location_delivery,degraded,execute_no_clarification,True,True,True,,True,True,False,True,True,False,1,recovery closure was not spoken after terminal evidence
nao_fake_recipient_missing_20260713_heavy_changes.json,fake_deep,fake_deep_grouped_work_table_delivery,fake_deep_location_delivery,fail,execute_no_clarification,True,True,True,,True,True,True,True,True,True,1,asked for clarification despite complete fixture context
nao_fake_recipient_missing_20260713_heavy_changes.json,fake_deep,fake_deep_gold_apple_multiturn,fake_deep_multiturn_pronoun_handoff,degraded,execute_no_clarification,True,True,True,,True,True,False,True,True,False,0,recovery closure was not spoken after terminal evidence
nao_fake_every_other_20260713_heavy_changes.json,fake_deep,fake_deep_grouped_work_table_delivery,fake_deep_location_delivery,fail,execute_no_clarification,True,True,True,,False,True,False,True,True,False,1,asked for clarification despite complete fixture context | expected planner request and execution feedback | recovery closure was not spoken after terminal evidence
nao_fake_random_seeded_20260713_heavy_changes.json,fake_deep,fake_deep_grouped_work_table_delivery,fake_deep_location_delivery,fail,execute_no_clarification,True,True,True,,False,True,False,True,True,False,1,asked for clarification despite complete fixture context | expected planner request and execution feedback | recovery closure was not spoken after terminal evidence
nao_adversarial_language_20260713_heavy_changes.json,,paraphrased_group_delivery,,not_scored,,True,True,True,,True,True,True,True,True,True,0,
nao_adversarial_language_20260713_heavy_changes.json,,person_in_view_no_unrelated_action,,not_scored,,True,True,True,,True,True,True,True,True,True,1,
nao_adversarial_language_20260713_heavy_changes.json,,execution_readiness_then_act,,not_scored,,True,True,True,,True,False,False,True,True,False,0,
nao_adversarial_language_20260713_heavy_changes.json,,multiturn_recipient_context,,not_scored,,True,True,True,,True,True,True,True,True,True,0,
nao_adversarial_language_20260713_heavy_changes.json,,multiturn_execute_followup,,not_scored,,True,True,False,,False,True,False,False,True,False,0,
